S.No,State,District,% Contribution of Testing by RAT,% Contribution of Testing by RTPCR,Positivity
1,ANDAMAN AND NICOBAR ISLANDS,NICOBARS,6,94,0
2,ANDAMAN AND NICOBAR ISLANDS,SOUTH ANDAMANS,8,92,0
3,ANDHRA PRADESH,ANANTAPUR,17,83,1.21
4,ANDHRA PRADESH,CHITTOOR,1,99,0.85
5,ANDHRA PRADESH,SPSR NELLORE,16,84,0.7
6,ANDHRA PRADESH,EAST GODAVARI,8,92,0.46
7,ANDHRA PRADESH,VISAKHAPATANAM,11,89,0.37
8,ANDHRA PRADESH,PRAKASAM,14,86,0.31
9,ANDHRA PRADESH,GUNTUR,25,75,0.28
10,ANDHRA PRADESH,WEST GODAVARI,7,93,0.28
11,ANDHRA PRADESH,KRISHNA,12,88,0.25
12,ANDHRA PRADESH,KURNOOL,40,60,0.11
13,ANDHRA PRADESH,Y.S.R.,1,99,0.08
14,ANDHRA PRADESH,SRIKAKULAM,2,98,0.07
15,ANDHRA PRADESH,VIZIANAGARAM,7,93,0
16,ARUNACHAL PRADESH,ANJAW,99,1,0
17,ARUNACHAL PRADESH,CHANGLANG,100,0,0
18,ARUNACHAL PRADESH,DIBANG VALLEY,83,17,0
19,ARUNACHAL PRADESH,EAST KAMENG,100,0,0
20,ARUNACHAL PRADESH,EAST SIANG,94,6,0
21,ARUNACHAL PRADESH,KAMLE,100,0,0
22,ARUNACHAL PRADESH,KRA  DAADI,100,0,0
23,ARUNACHAL PRADESH,LEPARADA,67,33,0
24,ARUNACHAL PRADESH,LOHIT,100,0,0
25,ARUNACHAL PRADESH,LOWER DIBANG VALLEY,100,0,0
26,ARUNACHAL PRADESH,LOWER SUBANSIRI,0,100,0
27,ARUNACHAL PRADESH,NAMSAI,97,3,0
28,ARUNACHAL PRADESH,PAKKE KESSANG,100,0,0
29,ARUNACHAL PRADESH,PAPUM PARE,68,32,0
30,ARUNACHAL PRADESH,SIANG,50,50,0
31,ARUNACHAL PRADESH,TAWANG,100,0,0
32,ARUNACHAL PRADESH,TIRAP,100,0,0
33,ARUNACHAL PRADESH,UPPER SUBANSIRI,0,100,0
34,ARUNACHAL PRADESH,WEST KAMENG,0,100,0
35,ASSAM,NALBARI,54,46,3.57
36,ASSAM,KAMRUP,71,29,2.67
37,ASSAM,KAMRUP METRO,37,63,2.64
38,ASSAM,DIBRUGARH,25,75,1.96
39,ASSAM,GOLAGHAT,15,85,1.69
40,ASSAM,JORHAT,18,82,0.95
41,ASSAM,NAGAON,93,7,0.26
42,ASSAM,CACHAR,72,28,0.21
43,ASSAM,BAKSA,69,31,0
44,ASSAM,BARPETA,90,10,0
45,ASSAM,BISWANATH,50,50,0
46,ASSAM,BONGAIGAON,92,8,0
47,ASSAM,CHARAIDEO,100,0,0
48,ASSAM,CHIRANG,88,12,0
49,ASSAM,DARRANG,75,25,0
50,ASSAM,DHEMAJI,75,25,0
51,ASSAM,DHUBRI,65,35,0
52,ASSAM,DIMA HASAO,100,0,0
53,ASSAM,GOALPARA,99,1,0
54,ASSAM,HAILAKANDI,100,0,0
55,ASSAM,HOJAI,78,22,0
56,ASSAM,KARBI ANGLONG,40,60,0
57,ASSAM,KARIMGANJ,38,62,0
58,ASSAM,KOKRAJHAR,50,50,0
59,ASSAM,LAKHIMPUR,67,33,0
60,ASSAM,MAJULI,50,50,0
61,ASSAM,MARIGAON,68,32,0
62,ASSAM,SIVASAGAR,25,75,0
63,ASSAM,SONITPUR,60,40,0
64,ASSAM,SOUTH SALMARA MANCACHAR,100,0,0
65,ASSAM,TINSUKIA,26,74,0
66,ASSAM,UDALGURI,20,80,0
67,BIHAR,PATNA,49,51,0.07
68,BIHAR,JAMUI,65,35,0.06
69,BIHAR,AURANGABAD,46,54,0.05
70,BIHAR,BHAGALPUR,51,49,0.02
71,BIHAR,BHOJPUR,47,53,0.02
72,BIHAR,LAKHISARAI,35,65,0.02
73,BIHAR,NAWADA,46,54,0.02
74,BIHAR,SARAN,70,30,0.02
75,BIHAR,BUXAR,58,42,0.01
76,BIHAR,GOPALGANJ,42,58,0.01
77,BIHAR,KAIMUR (BHABUA),59,41,0.01
78,BIHAR,MADHEPURA,48,52,0.01
79,BIHAR,MADHUBANI,69,31,0.01
80,BIHAR,MUNGER,35,65,0.01
81,BIHAR,PASHCHIM CHAMPARAN,47,53,0.01
82,BIHAR,ROHTAS,67,33,0.01
83,BIHAR,SAHARSA,70,30,0.01
84,BIHAR,ARARIA,71,29,0
85,BIHAR,ARWAL,43,57,0
86,BIHAR,BANKA,44,56,0
87,BIHAR,BEGUSARAI,55,45,0
88,BIHAR,DARBHANGA,52,48,0
89,BIHAR,GAYA,63,37,0
90,BIHAR,JEHANABAD,38,62,0
91,BIHAR,KATIHAR,72,28,0
92,BIHAR,KHAGARIA,15,85,0
93,BIHAR,KISHANGANJ,50,50,0
94,BIHAR,MUZAFFARPUR,54,46,0
95,BIHAR,NALANDA,57,43,0
96,BIHAR,PURBI CHAMPARAN,49,51,0
97,BIHAR,PURNIA,77,23,0
98,BIHAR,SAMASTIPUR,52,48,0
99,BIHAR,SHEIKHPURA,36,64,0
100,BIHAR,SHEOHAR,23,77,0
101,BIHAR,SITAMARHI,61,39,0
102,BIHAR,SIWAN,67,33,0
103,BIHAR,SUPAUL,42,58,0
104,BIHAR,VAISHALI,48,52,0
105,CHANDIGARH,CHANDIGARH,25,75,0.37
106,CHHATTISGARH,DURG,61,39,0.25
107,CHANDIGARH,BILASPUR,80,20,0.21
108,CHANDIGARH,MAHASAMUND,95,5,0.21
109,CHANDIGARH,KABIRDHAM,99,1,0.18
110,CHANDIGARH,RAIPUR,41,59,0.12
111,CHANDIGARH,JASHPUR,85,15,0.11
112,CHANDIGARH,BALOD,98,2,0.08
113,CHANDIGARH,RAJNANDGAON,88,12,0.08
114,CHANDIGARH,KORBA,88,12,0.07
115,CHANDIGARH,JANJGIR CHAMPA,98,2,0.05
116,CHANDIGARH,SURGUJA,86,14,0.05
117,CHANDIGARH,BALODA BAZAR,92,8,0
118,CHANDIGARH,BALRAMPUR,88,12,0
119,CHANDIGARH,BASTAR,97,3,0
120,CHANDIGARH,BEMETARA,99,1,0
121,CHANDIGARH,BIJAPUR,95,5,0
122,CHANDIGARH,DANTEWADA,99,1,0
123,CHANDIGARH,DHAMTARI,99,1,0
124,CHANDIGARH,GARIYABAND,63,37,0
125,CHANDIGARH,GAURELLA PENDRA MARWAHI,100,0,0
126,CHANDIGARH,KANKER,93,7,0
127,CHANDIGARH,KONDAGAON,73,27,0
128,CHANDIGARH,KOREA,98,2,0
129,CHANDIGARH,MUNGELI,100,0,0
130,CHANDIGARH,NARAYANPUR,100,0,0
131,CHANDIGARH,RAIGARH,82,18,0
132,CHANDIGARH,SUKMA,95,5,0
133,CHANDIGARH,SURAJPUR,87,13,0
134,DADRA AND NAGAR HAVELI,DADRA AND NAGAR HAVELI,29,71,0
135,DAMAN AND DIU,DAMAN,12,88,0
136,DAMAN AND DIU,DIU,22,78,0
137,DELHI,EAST,67,33,4.76
138,DELHI,SOUTH EAST,61,39,2.68
139,DELHI,SHAHDARA,57,43,2.39
140,DELHI,NORTH,60,40,1.99
141,DELHI,SOUTH,24,76,8.75
142,DELHI,NORTH WEST,30,70,7.31
143,DELHI,WEST,42,58,6.8
144,DELHI,SOUTH WEST,19,81,5.85
145,DELHI,CENTRAL,28,72,5.79
146,DELHI,NEW DELHI,35,65,5.12
147,DELHI,NORTH EAST,77,23,1.18
148,GOA,SOUTH GOA,43,57,0.82
149,GOA,NORTH GOA,20,80,0.79
150,GUJARAT,VADODARA,8,92,0.71
151,GUJARAT,AHMADABAD,9,91,0.52
152,GUJARAT,DANG,37,63,0.4
153,GUJARAT,GIR SOMNATH,7,93,0.34
154,GUJARAT,GANDHINAGAR,25,75,0.17
155,GUJARAT,PANCH MAHALS,1,99,0.12
156,GUJARAT,ANAND,9,91,0.08
